State/UnionTerritory,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02
Kerala,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,8.0,9.0,15.0,17.0,17.0,19.0,19.0,22.0,23.0,26.0,27.0,27.0,28.0,40.0,52.0,67.0,95.0,109.0,118.0,137.0,176.0,182.0,202.0,234.0,241.0,265.0,286.0,295.0,306.0,314.0,327.0,336.0,345.0,357.0,364.0,374.0,376.0,379.0,387.0,388.0,395.0,396.0,400.0,402.0,408.0,427.0,438.0,448.0,451.0,458.0,469.0,482.0,486.0,496.0,497.0,497.0,500.0,500.0,500.0,502.0,503.0,503.0,503.0,505.0,512.0,519.0,524.0,534.0,560.0,576.0,587.0,601.0,630.0,642.0,666.0,690.0,732.0,795.0,847.0,896.0,963.0,1004.0,1088.0,1150.0,1208.0,1269.0,1326.0,1412.0,1494.0,1588.0,1699.0,1807.0,1914.0,2005.0,2096.0,2161.0,2244.0,2322.0,2407.0,2461.0,2543.0,2622.0,2697.0,2794.0,2912.0,3039.0,3172.0,3310.0,3451.0,3603.0,3726.0,3876.0,4071.0,4189.0,4189.0,4442.0,4593.0,4753.0,4964.0,5204.0,5429.0,5622.0,5894.0,6195.0,6534.0,6950.0,7438.0,7873.0,8322.0,8930.0,9553.0,10275.0,11066.0,11659.0,12480.0,13274.0,13994.0,15032.0,16110.0,16995.0,18098.0,19025.0,19727.0,20894.0,21797.0,22303.0,23613.0,24742.0
Ladakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,6.0,8.0,8.0,10.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,20.0,20.0,20.0,22.0,22.0,22.0,22.0,22.0,40.0,41.0,41.0,41.0,41.0,42.0,42.0,42.0,42.0,42.0,42.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,44.0,44.0,44.0,49.0,52.0,52.0,53.0,53.0,73.0,74.0,74.0,74.0,77.0,81.0,90.0,90.0,97.0,99.0,103.0,103.0,108.0,115.0,135.0,239.0,437.0,549.0,555.0,649.0,687.0,687.0,744.0,836.0,837.0,847.0,932.0,941.0,941.0,946.0,960.0,963.0,964.0,973.0,990.0,990.0,1001.0,1005.0,1005.0,1005.0,1041.0,1041.0,1055.0,1064.0,1077.0,1086.0,1093.0,1093.0,1142.0,1147.0,1151.0,1159.0,1178.0,1195.0,1198.0,1206.0,1210.0,1246.0,1276.0,1285.0,1306.0,1327.0,1347.0,1378.0,1404.0,1462.0
Madhya Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,6.0,7.0,14.0,20.0,20.0,30.0,30.0,47.0,47.0,66.0,99.0,104.0,104.0,165.0,165.0,229.0,229.0,259.0,259.0,443.0,564.0,604.0,730.0,987.0,1120.0,1308.0,1355.0,1407.0,1485.0,1540.0,1592.0,1695.0,1852.0,1952.0,2096.0,2168.0,2368.0,2561.0,2660.0,2719.0,2719.0,2846.0,2942.0,3049.0,3049.0,3138.0,3252.0,3341.0,3614.0,3614.0,3785.0,3986.0,4173.0,4426.0,4595.0,4789.0,4977.0,5236.0,5465.0,5735.0,5981.0,6170.0,6371.0,6665.0,6859.0,7024.0,7261.0,7453.0,7645.0,7891.0,8089.0,8283.0,8420.0,8588.0,8762.0,8996.0,9228.0,9401.0,9638.0,9849.0,10049.0,10241.0,10443.0,10641.0,10802.0,10935.0,11083.0,11244.0,11426.0,11582.0,11724.0,11903.0,12078.0,12261.0,12448.0,12596.0,12798.0,12965.0,13186.0,13370.0,13593.0,13861.0,14106.0,14297.0,14604.0,14930.0,15284.0,15627.0,16036.0,16341.0,16657.0,17201.0,17632.0,18207.0,19005.0,19643.0,20378.0,21081.0,21763.0,22600.0,23310.0,24095.0,24842.0,25474.0,26210.0,26926.0,27800.0,28589.0,29217.0,30134.0,30968.0,31806.0,32614.0
Maharashtra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,2.0,11.0,14.0,14.0,32.0,32.0,39.0,42.0,47.0,52.0,63.0,67.0,74.0,89.0,128.0,124.0,130.0,180.0,186.0,198.0,216.0,302.0,335.0,335.0,490.0,490.0,748.0,868.0,1018.0,1135.0,1364.0,1574.0,1761.0,1985.0,2337.0,2687.0,2919.0,3205.0,3323.0,3651.0,4203.0,4669.0,5221.0,5652.0,6430.0,6817.0,7628.0,8068.0,8590.0,9318.0,9915.0,10498.0,11506.0,12296.0,12974.0,14541.0,15525.0,16758.0,17974.0,19063.0,20228.0,22171.0,23401.0,24427.0,25922.0,27524.0,29100.0,30706.0,33053.0,35058.0,37136.0,39297.0,41642.0,44582.0,47190.0,50231.0,52667.0,54758.0,56948.0,59546.0,62228.0,65168.0,67655.0,70013.0,72300.0,74860.0,77793.0,80229.0,82968.0,85975.0,88528.0,90787.0,94041.0,97648.0,101141.0,104568.0,107958.0,110744.0,113445.0,116752.0,120504.0,124331.0,128205.0,132075.0,135796.0,139010.0,142900.0,147741.0,152765.0,159133.0,164626.0,169883.0,174761.0,180298.0,186626.0,192990.0,200064.0,206619.0,211987.0,217121.0,223724.0,230599.0,238461.0,246600.0,254427.0,260924.0,267665.0,275640.0,284281.0,292589.0,300937.0,310455.0,318695.0,327031.0,337607.0,347502.0,357117.0,366368.0,375799.0,383723.0,391440.0,400651.0,411798.0,422118.0,431719.0
Manipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,7.0,7.0,7.0,9.0,25.0,25.0,26.0,29.0,32.0,39.0,39.0,44.0,55.0,59.0,62.0,71.0,83.0,89.0,118.0,124.0,132.0,157.0,172.0,272.0,304.0,311.0,366.0,385.0,449.0,458.0,490.0,500.0,552.0,606.0,681.0,777.0,841.0,898.0,921.0,970.0,1056.0,1075.0,1092.0,1185.0,1227.0,1234.0,1260.0,1279.0,1316.0,1325.0,1366.0,1390.0,1430.0,1435.0,1450.0,1582.0,1593.0,1609.0,1626.0,1672.0,1700.0,1764.0,1800.0,1891.0,1911.0,1925.0,2015.0,2060.0,2115.0,2146.0,2176.0,2235.0,2286.0,2317.0,2458.0,2505.0,2621.0,2756.0
Meghalaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,7.0,9.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,20.0,21.0,27.0,27.0,27.0,27.0,27.0,33.0,33.0,33.0,33.0,36.0,36.0,43.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,46.0,46.0,46.0,47.0,47.0,47.0,47.0,52.0,52.0,56.0,62.0,62.0,62.0,80.0,80.0,80.0,113.0,207.0,207.0,306.0,318.0,318.0,346.0,377.0,403.0,418.0,450.0,466.0,490.0,514.0,534.0,588.0,646.0,702.0,738.0,779.0,784.0,803.0,823.0,856.0
Mizoram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,14.0,17.0,22.0,24.0,34.0,42.0,88.0,93.0,102.0,104.0,107.0,112.0,117.0,121.0,121.0,130.0,130.0,140.0,141.0,141.0,142.0,142.0,145.0,145.0,148.0,148.0,148.0,160.0,160.0,162.0,162.0,164.0,186.0,197.0,197.0,197.0,197.0,226.0,227.0,231.0,233.0,238.0,238.0,272.0,282.0,284.0,284.0,297.0,317.0,317.0,332.0,361.0,361.0,361.0,384.0,384.0,398.0,408.0,412.0,468.0
Nagaland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,4.0,18.0,25.0,36.0,43.0,43.0,49.0,58.0,80.0,94.0,107.0,118.0,123.0,127.0,128.0,128.0,156.0,163.0,168.0,177.0,179.0,193.0,193.0,198.0,201.0,211.0,280.0,330.0,347.0,355.0,371.0,387.0,415.0,434.0,459.0,459.0,501.0,539.0,563.0,590.0,625.0,625.0,657.0,673.0,732.0,748.0,774.0,845.0,896.0,902.0,916.0,956.0,978.0,988.0,1021.0,1030.0,1084.0,1174.0,1239.0,1289.0,1339.0,1385.0,1460.0,1513.0,1566.0,1693.0,1831.0
Odisha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,20.0,21.0,42.0,42.0,42.0,44.0,48.0,54.0,54.0,55.0,60.0,60.0,60.0,60.0,61.0,68.0,74.0,82.0,83.0,90.0,94.0,103.0,108.0,118.0,119.0,128.0,143.0,149.0,160.0,163.0,170.0,175.0,185.0,219.0,271.0,294.0,377.0,414.0,437.0,538.0,611.0,672.0,737.0,828.0,876.0,978.0,1052.0,1103.0,1189.0,1269.0,1336.0,1438.0,1517.0,1593.0,1660.0,1723.0,1819.0,1948.0,2104.0,2245.0,2388.0,2478.0,2608.0,2781.0,2856.0,2994.0,3140.0,3250.0,3386.0,3498.0,3723.0,3909.0,4055.0,4163.0,4338.0,4512.0,4677.0,4856.0,5160.0,5303.0,5470.0,5752.0,5962.0,6180.0,6350.0,6614.0,6859.0,7065.0,7316.0,7545.0,8106.0,8601.0,9070.0,9526.0,10097.0,10624.0,11201.0,11956.0,12526.0,13121.0,13737.0,14280.0,14898.0,15392.0,16110.0,16701.0,17437.0,18110.0,18757.0,19835.0,21099.0,22693.0,24013.0,25389.0,26892.0,28107.0,29175.0,30378.0,31877.0,33479.0
Puducherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,18.0,18.0,18.0,20.0,26.0,26.0,41.0,41.0,46.0,46.0,51.0,51.0,51.0,70.0,74.0,82.0,82.0,82.0,99.0,99.0,99.0,127.0,127.0,127.0,157.0,157.0,176.0,194.0,202.0,216.0,245.0,271.0,286.0,286.0,366.0,383.0,402.0,461.0,502.0,502.0,619.0,619.0,619.0,714.0,714.0,802.0,802.0,802.0,802.0,802.0,930.0,1008.0,1151.0,1272.0,1337.0,1418.0,1468.0,1531.0,1596.0,1743.0,1832.0,1894.0,1999.0,2092.0,2179.0,2300.0,2420.0,2515.0,2654.0,2786.0,2872.0,3011.0,3177.0,3298.0,3472.0,3606.0
Punjab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,13.0,21.0,21.0,29.0,29.0,33.0,33.0,38.0,38.0,38.0,41.0,42.0,46.0,48.0,57.0,57.0,76.0,91.0,91.0,101.0,132.0,132.0,151.0,167.0,176.0,186.0,186.0,186.0,202.0,219.0,219.0,245.0,251.0,277.0,277.0,298.0,298.0,313.0,313.0,322.0,357.0,357.0,480.0,772.0,1102.0,1233.0,1451.0,1516.0,1644.0,1731.0,1762.0,1823.0,1877.0,1914.0,1924.0,1935.0,1935.0,1946.0,1964.0,1980.0,2002.0,2005.0,2028.0,2029.0,2045.0,2060.0,2060.0,2106.0,2139.0,2158.0,2197.0,2233.0,2263.0,2301.0,2342.0,2376.0,2415.0,2461.0,2515.0,2608.0,2663.0,2719.0,2805.0,2887.0,2986.0,3063.0,3140.0,3267.0,3371.0,3497.0,3615.0,3832.0,3952.0,4074.0,4235.0,4397.0,4627.0,4769.0,4957.0,5056.0,5216.0,5418.0,5568.0,5668.0,5784.0,5937.0,6109.0,6283.0,6491.0,6749.0,6907.0,7140.0,7357.0,7587.0,7821.0,8178.0,8511.0,8799.0,9094.0,9442.0,9792.0,10100.0,10510.0,10889.0,11301.0,11739.0,12216.0,12684.0,13218.0,13769.0,14378.0,14946.0,15456.0,16119.0,17063.0
Rajasthan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,7.0,17.0,17.0,24.0,28.0,32.0,36.0,41.0,41.0,54.0,55.0,59.0,74.0,93.0,108.0,167.0,200.0,200.0,274.0,288.0,328.0,383.0,463.0,553.0,700.0,812.0,879.0,1005.0,1023.0,1131.0,1229.0,1351.0,1478.0,1576.0,1801.0,1890.0,1964.0,2034.0,2083.0,2185.0,2262.0,2364.0,2438.0,2584.0,2666.0,2772.0,2886.0,3061.0,3158.0,3317.0,3427.0,3579.0,3708.0,3814.0,3988.0,4126.0,4328.0,4534.0,4727.0,4960.0,5202.0,5507.0,5845.0,6015.0,6227.0,6494.0,6742.0,7028.0,7300.0,7536.0,7703.0,8067.0,8365.0,8617.0,8831.0,8980.0,9373.0,9652.0,9862.0,10084.0,10331.0,10599.0,10763.0,11245.0,11600.0,11838.0,12068.0,12401.0,12694.0,12981.0,13216.0,13542.0,13857.0,14156.0,14536.0,14930.0,15232.0,15627.0,16009.0,16296.0,16660.0,16944.0,17271.0,17660.0,18014.0,18312.0,18662.0,19052.0,19532.0,20164.0,20688.0,21404.0,22063.0,22563.0,23174.0,23748.0,24392.0,24936.0,25571.0,26437.0,27174.0,27789.0,28500.0,29434.0,30390.0,31373.0,32334.0,33220.0,34178.0,35298.0,35909.0,36878.0,38514.0,38964.0,40145.0,41298.0,42646.0
Sikkim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,7.0,7.0,7.0,13.0,13.0,14.0,63.0,63.0,68.0,68.0,70.0,70.0,70.0,70.0,70.0,78.0,78.0,79.0,84.0,85.0,86.0,87.0,88.0,88.0,89.0,101.0,102.0,102.0,103.0,123.0,125.0,125.0,133.0,134.0,134.0,151.0,153.0,192.0,209.0,220.0,243.0,266.0,275.0,283.0,305.0,330.0,438.0,460.0,477.0,499.0,545.0,555.0,579.0,596.0,610.0,639.0,650.0
Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,7.0,9.0,15.0,18.0,26.0,29.0,40.0,49.0,67.0,74.0,234.0,234.0,309.0,411.0,485.0,571.0,621.0,690.0,738.0,834.0,911.0,969.0,1075.0,1173.0,1204.0,1242.0,1267.0,1323.0,1372.0,1477.0,1520.0,1596.0,1629.0,1683.0,1755.0,1821.0,1885.0,1937.0,2058.0,2162.0,2323.0,2526.0,2757.0,3023.0,3550.0,4058.0,4829.0,5409.0,6009.0,6535.0,7204.0,8002.0,8718.0,9227.0,9674.0,10108.0,10585.0,11224.0,11760.0,12448.0,13191.0,13967.0,14753.0,15512.0,16277.0,17082.0,17728.0,18545.0,19372.0,20246.0,21184.0,22333.0,23495.0,24586.0,25872.0,27256.0,28694.0,30152.0,31667.0,33229.0,34914.0,36841.0,38716.0,40698.0,42687.0,44661.0,46504.0,48019.0,50193.0,52334.0,54449.0,56845.0,59377.0,62087.0,64603.0,67468.0,70977.0,74622.0,78335.0,82275.0,86224.0,90167.0,94049.0,98392.0,102721.0,107001.0,111151.0,114978.0,118594.0,122350.0,126581.0,130261.0,134226.0,138470.0,142798.0,147324.0,151820.0,156369.0,160907.0,165714.0,170693.0,175678.0,180643.0,186492.0,192964.0,199749.0,206737.0,213723.0,220716.0,227688.0,234114.0,239978.0,245859.0,251738.0
Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.0,4484.0,4737.0,4974.0,5193.0,5406.0,5675.0,6027.0,6526.0,7072.0,7802.0,8674.0,9553.0,10444.0,11364.0,12349.0,13436.0,14419.0,15394.0,16339.0,17357.0,18570.0,20462.0,22312.0,23902.0,25733.0,27612.0,29536.0,30946.0,32224.0,33402.0,34671.0,36221.0,37745.0,39342.0,41018.0,42496.0,43780.0,45076.0,46274.0,47705.0,49259.0,50826.0,52466.0,,54059.0,,,,,,
Telangana***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52466.0,,,,,,,
Telengana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,6.0,6.0,17.0,21.0,22.0,32.0,35.0,35.0,44.0,45.0,56.0,66.0,71.0,79.0,96.0,107.0,158.0,159.0,269.0,321.0,364.0,427.0,442.0,473.0,504.0,504.0,562.0,624.0,647.0,698.0,743.0,791.0,844.0,873.0,919.0,945.0,960.0,984.0,984.0,991.0,1002.0,1004.0,1012.0,1012.0,1039.0,1039.0,1063.0,1082.0,1085.0,1096.0,1107.0,1123.0,1133.0,1163.0,1196.0,1275.0,1326.0,1367.0,1414.0,1454.0,1509.0,1551.0,1597.0,1634.0,1661.0,1699.0,1761.0,1813.0,1854.0,1920.0,1991.0,2098.0,2256.0,2425.0,2499.0,2698.0,2792.0,2891.0,3020.0,3147.0,3290.0,3496.0,3580.0,3650.0,3920.0,4111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57142.0,,58906.0,60717.0,62703.0,64786.0
Telengana***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57142.0,,,,
Tripura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,16.0,29.0,43.0,43.0,65.0,118.0,134.0,150.0,152.0,154.0,155.0,156.0,156.0,167.0,167.0,167.0,173.0,173.0,173.0,175.0,189.0,191.0,194.0,207.0,230.0,242.0,251.0,268.0,313.0,420.0,468.0,468.0,644.0,692.0,747.0,800.0,838.0,864.0,895.0,913.0,961.0,1046.0,1076.0,1086.0,1092.0,1135.0,1155.0,1178.0,1186.0,1221.0,1237.0,1259.0,1259.0,1290.0,1325.0,1334.0,1346.0,1380.0,1388.0,1396.0,1435.0,1525.0,1546.0,1568.0,1680.0,1704.0,1761.0,1776.0,1918.0,1949.0,2054.0,2080.0,2170.0,2268.0,2283.0,2366.0,2654.0,2878.0,3079.0,3331.0,3449.0,3656.0,3759.0,3862.0,3900.0,4049.0,4269.0,4485.0,4706.0,4978.0,5233.0
Unassigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,38.0,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,11.0,11.0,12.0,13.0,13.0,15.0,16.0,19.0,23.0,24.0,27.0,31.0,33.0,37.0,41.0,41.0,55.0,65.0,82.0,101.0,103.0,113.0,172.0,174.0,227.0,305.0,305.0,343.0,410.0,431.0,433.0,452.0,483.0,657.0,735.0,773.0,846.0,969.0,1084.0,1176.0,1294.0,1412.0,1509.0,1604.0,1778.0,1843.0,1955.0,2043.0,2115.0,2203.0,2281.0,2328.0,2626.0,2742.0,2859.0,2880.0,2998.0,3071.0,3214.0,3373.0,3467.0,3573.0,3664.0,3729.0,3902.0,4057.0,4258.0,4259.0,4605.0,4926.0,5175.0,5515.0,5735.0,6017.0,6268.0,6532.0,6548.0,6991.0,7170.0,7284.0,7445.0,7823.0,8075.0,8361.0,8729.0,9237.0,9733.0,9733.0,10536.0,10947.0,11335.0,11610.0,12088.0,12616.0,13118.0,13615.0,13615.0,14091.0,14598.0,15181.0,15785.0,16594.0,17731.0,18322.0,18893.0,19557.0,20193.0,20943.0,21549.0,22147.0,22828.0,23492.0,24056.0,24825.0,25797.0,26554.0,27707.0,28636.0,29968.0,31156.0,32362.0,33700.0,35092.0,36476.0,38130.0,39724.0,41383.0,43441.0,45163.0,47036.0,49247.0,51160.0,53288.0,55588.0,58104.0,60771.0,63742.0,66988.0,70493.0,73951.0,77334.0,81039.0,85461.0,89048.0
Uttarakhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,10.0,16.0,22.0,26.0,31.0,31.0,35.0,35.0,35.0,35.0,35.0,35.0,37.0,37.0,37.0,42.0,42.0,44.0,46.0,46.0,46.0,47.0,48.0,50.0,51.0,51.0,54.0,55.0,57.0,58.0,59.0,60.0,60.0,61.0,61.0,61.0,63.0,67.0,68.0,68.0,69.0,72.0,78.0,82.0,88.0,92.0,93.0,111.0,122.0,146.0,153.0,244.0,317.0,349.0,401.0,469.0,500.0,716.0,749.0,907.0,958.0,1043.0,1085.0,1153.0,1215.0,1303.0,1355.0,1411.0,1537.0,1562.0,1643.0,1724.0,1785.0,1819.0,1845.0,1942.0,2023.0,2102.0,2177.0,2301.0,2344.0,2402.0,2535.0,2623.0,2691.0,2725.0,2791.0,2823.0,2831.0,2881.0,2947.0,2984.0,3048.0,3093.0,3124.0,3161.0,3230.0,3258.0,3305.0,3373.0,3417.0,3537.0,3608.0,3686.0,3785.0,3982.0,4102.0,4276.0,4515.0,4642.0,4849.0,5300.0,5445.0,5445.0,5961.0,6104.0,6328.0,6587.0,6866.0,7065.0,7183.0,7447.0
West Bengal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,3.0,4.0,7.0,9.0,9.0,10.0,10.0,15.0,18.0,22.0,26.0,37.0,53.0,63.0,69.0,80.0,80.0,91.0,99.0,103.0,116.0,126.0,134.0,152.0,190.0,213.0,231.0,255.0,287.0,310.0,339.0,392.0,423.0,456.0,514.0,571.0,611.0,649.0,697.0,725.0,758.0,795.0,795.0,922.0,963.0,1259.0,1344.0,1456.0,1548.0,1678.0,1786.0,1939.0,2063.0,2173.0,2290.0,2377.0,2461.0,2576.0,2677.0,2825.0,2961.0,3103.0,3197.0,3332.0,3459.0,3667.0,3816.0,4009.0,4192.0,4536.0,4813.0,5130.0,5501.0,5772.0,6168.0,6508.0,6876.0,7303.0,7738.0,8187.0,8613.0,8985.0,9328.0,9768.0,10244.0,10698.0,11087.0,11494.0,11909.0,12300.0,12735.0,13090.0,13531.0,13945.0,14358.0,14728.0,15173.0,15648.0,16190.0,16711.0,17283.0,17907.0,18559.0,19170.0,19819.0,20488.0,21231.0,22126.0,22987.0,23837.0,24823.0,25911.0,27109.0,28453.0,30013.0,31448.0,32838.0,34427.0,36117.0,38011.0,40209.0,42487.0,44769.0,47030.0,49321.0,51757.0,53973.0,56377.0,58718.0,60830.0,62964.0,65258.0,67692.0,70188.0,72777.0
